label_raw,text,label_ocean,key
Gregariousness,Act wild and crazy,E,1
Anxiety,Are afraid that you will do the wrong thing,N,1
Emotionality,Are annoyed by others' mistakes,O,1
Anxiety,Are easily hurt,N,1
Emotionality,Are easily put out,O,1
Orderliness,Are exacting in your work,C,1
Assertiveness,Are not afraid of providing criticism,E,1
Orderliness,Are not bothered by disorder,C,-1
Orderliness,Are not bothered by messy people,C,-1
Emotionality,Are not easily annoyed,O,-1
Anxiety,Are not easily bothered by things,N,-1
Emotionality,Are quick to judge others,O,1
Friendliness,Are quiet around strangers,E,-1
Gregariousness,Are the last to laugh at a joke,E,-1
Gregariousness,Are the life of the party,E,1
Gregariousness,Areuse your friends,E,1
Dutifulness,Believe in one true religion,C,1
Dutifulness,Believe laws should be strictly enforced,C,1
Dutifulness,Break rules,C,-1
Assertiveness,Can take strong measures,E,1
Emotionality,Can't stand being contradicted,O,1
Intellect,Consider yourself an average person,O,-1
Orderliness,Continue until everything is perfect,C,1
Intellect,Counter others' arguments,O,1
Gregariousness,Dislike loud music,E,-1
Imagination,Do things by the book,O,-1
Imagination,Do things that others find strange,O,1
Imagination,Do unexpected things,O,1
Anxiety,Don't let others discourage me,N,-1
Gregariousness,Don't like crowded events,E,-1
Friendliness,Don't mind being the center of attention,E,1
Anxiety,Don't worry about things that have already happened,N,-1
Gregariousness,Enjoy being part of a loud crowd,E,1
Imagination,Enjoy wild flights of fantasy,O,1
Friendliness,Feel comfortable around people,E,1
Anxiety,Feel crushed by setbacks,N,1
Anxiety,"Feel guilty when you say ""no.""",N,1
Anxiety,Feel threatened easily,N,1
Friendliness,Find it difficult to approach others,E,-1
Emotionality,Get angry easily,O,1
Orderliness,Get chores done right away,C,1
Intellect,Get confused easily,O,-1
Emotionality,Get irritated easily,O,1
Emotionality,Have a good word for everyone,O,-1
Intellect,Have a poor vocabulary,O,-1
Friendliness,Have little to say,E,-1
Gregariousness,Joke around a lot,E,1
Emotionality,Judge people by their appearance,O,1
Friendliness,Keep in the background,E,-1
Dutifulness,Know how to get around the rules,C,-1
Intellect,Know that you are not a special person,O,-1
Intellect,Know the answers to many questions,O,1
Intellect,Learn quickly,O,1
Orderliness,Leave a mess in your room,C,-1
Orderliness,Leave your belongings around,C,-1
Assertiveness,Let yourself be pushed around,E,-1
Assertiveness,Let others make the decisions,E,-1
Orderliness,Like order,C,1
Imagination,Like to get lost in thought,O,1
Dutifulness,Like to stand during the national anthem,C,1
Gregariousness,Love large parties,E,1
Imagination,Love to daydream,O,1
Friendliness,Make friends easily,E,1
Intellect,Make insightful remarks,O,1
Assertiveness,Never challenge things,E,-1
Friendliness,Often feel uncomfortable around others,E,-1
Dutifulness,Oppose authority,C,-1
Orderliness,Put off unpleasant tasks,C,-1
Intellect,Reflect on things before acting,O,1
Dutifulness,Resist authority,C,-1
Dutifulness,Respect authority,C,1
Assertiveness,Say what you think,E,1
Imagination,Seldom daydream,O,-1
Imagination,Seldom get lost in thought,O,-1
Gregariousness,Seldom joke around,E,-1
Intellect,Skip difficult words while reading,O,-1
Anxiety,Spend time thinking about past mistakes,N,1
Friendliness,Start conversations,E,1
Imagination,Swim against the current,O,1
Assertiveness,Take charge,E,1
Assertiveness,Take control of things,E,1
Imagination,Take deviant positions,O,1
Friendliness,Talk to a lot of different people at parties,E,1
Intellect,Tend to analyze things,O,1
Dutifulness,Try to follow the rules,C,1
Emotionality,Try to forgive and forget,O,-1
Intellect,Use your brain,O,1
Dutifulness,Use swear words,C,-1
Assertiveness,Wait for others to lead the way,E,-1
Assertiveness,Want to be in charge,E,1
Intellect,Weigh the pros against the cons,O,1
Anxiety,Worry about things,N,1
Agreeableness,Accept people as they are,A,1
Achievement-striving,Accomplish a lot of work,C,1
Adventurousness,Are a creature of habit,O,-1
Agreeableness,Are annoyed by others' mistakes,A,-1
Adventurousness,Are attached to conventional ways,O,-1
Orderliness,Are continually losing things,C,-1
Agreeableness,Are easily offended,A,-1
Extraversion,Are good at making impromptu speeches,E,1
Gregariousness,Are hard to get to know,E,-1
Agreeableness,Are inclined to forgive others,A,1
Intellectual Openness,Are interested in many things,O,1
Agreeableness,Are not disturbed by events,A,1
Extraversion,Are not good at getting people to like me,E,-1
Intellectual Openness,Are not interested in abstract ideas,O,-1
Intellectual Openness,Are not interested in theoretical discussions,O,-1
Intellectual Openness,Are open to change,O,1
Extraversion,Are skilled in handling social situations,E,1
Gregariousness,Avoid company,E,-1
Gregariousness,Avoid contacts with others,E,-1
Orderliness,Can never find anything,C,-1
Extraversion,Can talk others into doing things,E,1
Intellectual Openness,Carry the conversation to a higher level,O,1
Adventurousness,Dislike changes,O,-1
Adventurousness,Dislike the unknown,O,-1
Achievement-striving,Do a lot in your spare time,C,1
Achievement-striving,Do just enough work to get by,C,-1
Achievement-striving,Do more than what's expected of me,C,1
Orderliness,Do unpleasant tasks immediately,C,1
Adventurousness,Don't like to travel,O,-1
Achievement-striving,Excel in what you do,C,1
Extraversion,Express yourself easily,E,1
Gregariousness,Feel comfortable around people,E,1
Extraversion,Find it difficult to approach others,E,-1
Achievement-striving,Find it difficult to get down to work,C,-1
Agreeableness,Get back at others,A,-1
Achievement-striving,Hang around doing nothing,C,-1
Extraversion,Have a natural talent for influencing people,E,1
Orderliness,Have an eye for detail,C,1
Agreeableness,Hold a grudge,A,-1
Extraversion,Keep in the background,E,-1
Gregariousness,Keep others at a distance,E,-1
Extraversion,Lack the talent for influencing people,E,-1
Orderliness,Like to tidy up,C,1
Adventurousness,Like to visit new places,O,1
Gregariousness,Make friends easily,E,1
Achievement-striving,Need a push to get started,C,-1
Gregariousness,Often feel uncomfortable around others,E,-1
Orderliness,Often forget to put things back in their proper place,C,1
Achievement-striving,Plunge into tasks with all your heart,C,1
Intellectual Openness,Prefer to stick with things that you know,O,-1
Intellectual Openness,Prefer variety to routine,O,1
Intellectual Openness,Rarely look for a deeper meaning in things,O,-1
Adventurousness,Seek adventure,O,1
Achievement-striving,Shirk your duties,C,-1
Gregariousness,Start conversations,E,1
Agreeableness,Take things as they come,A,1
Gregariousness,Talk to a lot of different people at parties,E,1
Agreeableness,Tolerate a lot from others,A,1
Intellectual Openness,Try to avoid complex people,O,-1
Adventurousness,Try to do too difficult things,O,1
Agreeableness,Try to forgive and forget,A,1
Intellectual Openness,Want to increase your knowledge,O,1
Gregariousness,Warm up quickly to others,E,1
Extraversion,Would describe your experiences as somewhat dull,E,-1
Adventurousness,Would like to live for awhile in a different country,O,1
Adventurousness,Would never go hang-gliding or bungee-jumping,O,-1
Conscientiousness,Act wild and crazy,C,-1
Agreeableness,Are concerned about others,A,1
Intellect,Are not interested in abstract ideas,O,-1
Agreeableness,Are not interested in other people's problems,A,-1
Extraversion,Are open about your feelings,E,1
Intellect,Avoid difficult reading material,O,-1
Conscientiousness,Believe laws should be strictly enforced,C,1
Conscientiousness,Break rules,C,-1
Intellect,Carry the conversation to a higher level,O,1
Conscientiousness,Do crazy things,C,-1
Conscientiousness,Do things by the book,C,1
Conscientiousness,Do things in a half-way manner,C,-1
Extraversion,Don't talk a lot,E,-1
Agreeableness,Feel others' emotions,A,1
Agreeableness,Find fault with everything,A,-1
Intellect,Have a rich vocabulary,O,1
Agreeableness,Have a soft heart,A,1
Extraversion,Have difficulty expressing your feelings,E,-1
Intellect,Have difficulty understanding abstract ideas,O,-1
Intellect,Have excellent ideas,O,1
Extraversion,Hold back your opinions,E,-1
Agreeableness,Insult people,A,-1
Conscientiousness,Jump into things without thinking,C,-1
Conscientiousness,Like order,C,1
Extraversion,Make friends easily,E,1
Agreeableness,Make people feel at ease,A,1
Extraversion,Never at a loss for words,E,1
Conscientiousness,Pay attention to details,C,1
Agreeableness,Put people under pressure,A,-1
Intellect,Quick to understand things,O,1
Extraversion,Speak softly,E,-1
Agreeableness,Sympathize with others' feelings,A,1
Agreeableness,Take advantage of others,A,-1
Extraversion,Take charge,E,1
Extraversion,Talk to a lot of different people at parties,E,1
Intellect,Try to avoid complex people,O,-1
Conscientiousness,Try to follow the rules,C,1
Intellect,Will not probe deeply into a subject,O,-1
Conscientiousness,Accomplish your work on time,C,1
Morality,Act at the expense of others,A,-1
Friendliness,Act comfortably with others,E,1
Friendliness,Are a very private person,E,-1
Assertiveness,Are always busy,E,1
Conscientiousness,Are careful to avoid making mistakes,C,1
Sympathy,Are concerned about others,A,1
Sympathy,Are deeply moved by others' misfortunes,A,1
Cautiousness,Are easily talked into doing silly things,C,-1
Friendliness,Are hard to get to know,E,-1
Assertiveness,Are not highly motivated to succeed,E,-1
Conscientiousness,Are often late to work,C,-1
Friendliness,Are open about your feelings,E,1
Gregariousness,Are quiet around strangers,E,-1
Dutifulness,Appreciate good manners,C,1
Assertiveness,Automatically take charge,E,1
Friendliness,Avoid contacts with others,E,-1
Dutifulness,Behave properly,C,1
Imagination,Believe in the importance of art,O,1
Sympathy,Believe people should fend for themselves,A,-1
Gregariousness,Bottle up your feelings,E,-1
Morality,Break rules,A,-1
Assertiveness,Can easily push yourself forward,E,1
Introspection/Private Self-Consciousness,Can't stand being alone,N,-1
Dutifulness,Check over your work,C,1
Assertiveness,Come up with a solution right away,E,1
Cooperation,Comment loudly about others,A,-1
Sympathy,Demand a lot from others,A,-1
Intellect,Dislike learning,O,-1
Orderliness,Dislike routine,C,-1
Dutifulness,Disregard rules,C,-1
Assertiveness,Do a lot in your spare time,E,1
Cautiousness,Do crazy things,C,-1
Cooperation,Do dangerous things,A,-1
Dutifulness,Do improper things,C,-1
Imagination,Do not enjoy going to art museums,O,-1
Imagination,Do not like art,O,-1
Imagination,Do not like poetry,O,-1
Conscientiousness,Do not plan ahead,C,-1
Dutifulness,Do the opposite of what is asked,C,-1
Conscientiousness,Do things according to a plan,C,1
Introspection/Private Self-Consciousness,Do things at your own pace,N,1
Orderliness,Do things by the book,C,1
Morality,Don't care about rules,A,-1
Sympathy,Don't fall for sob stories,A,-1
Gregariousness,Don't like to draw attention to yourself,E,-1
Introspection/Private Self-Consciousness,Don't like to ponder over things,N,-1
Introspection/Private Self-Consciousness,Don't mind eating alone,N,1
Gregariousness,Don't talk a lot,E,-1
Dutifulness,Don't think laws apply to me,C,-1
Cooperation,Enjoy being reckless,A,-1
Introspection/Private Self-Consciousness,Enjoy contemplation,N,1
Cooperation,Enjoy crude jokes,A,-1
Introspection/Private Self-Consciousness,Enjoy your privacy,N,1
Introspection/Private Self-Consciousness,Enjoy spending time by yourself,N,1
Intellect,Enjoy thinking about things,O,1
Sympathy,Feel sympathy for those who are worse off than yourself,A,1
Orderliness,Follow a schedule,C,1
Dutifulness,Follow directions,C,1
Introspection/Private Self-Consciousness,Have a point of view all your own,N,1
Imagination,Have a vivid imagination,O,1
Cooperation,Impose your will on others,A,-1
Cautiousness,Jump into things without thinking,C,-1
Gregariousness,Keep in the background,E,-1
Conscientiousness,Keep your checkbook balanced,C,1
Gregariousness,Keep your thoughts to yourself,E,-1
Dutifulness,Keep yourself well-groomed,C,1
Friendliness,Keep others at a distance,E,-1
Assertiveness,Know what you want,E,1
Cautiousness,Laugh at the slightest provocation,C,-1
Conscientiousness,Leave your work undone,C,-1
Morality,Like harmony in your life,A,1
Cautiousness,Like to act on a whim,C,-1
Sympathy,Like to do things for others,A,1
Cautiousness,Like to laugh out loud,C,-1
Conscientiousness,Like to plan ahead,C,1
Sympathy,Listen to your brain rather than your heart,A,-1
Cooperation,Listen to your conscience,A,1
Introspection/Private Self-Consciousness,Live in a world of your own,N,1
Sympathy,Look down on any weakness,A,-1
Cooperation,Love a good fight,A,-1
Dutifulness,Make rash decisions,C,-1
Imagination,Need a creative outlet,O,1
Assertiveness,Need a lot of time to do things,E,-1
Conscientiousness,Neglect your duties,C,-1
Cautiousness,Never spend more than you can afford,C,1
Cautiousness,Never splurge,C,1
Conscientiousness,Often forget to put things back in their proper place,C,-1
Cautiousness,Often make last-minute plans,C,-1
Morality,Only talk about your own interests,A,-1
Morality,Overestimate your achievements,A,-1
Dutifulness,Pay no attention to your appearance,C,-1
Cooperation,Play tricks on others,A,-1
Introspection/Private Self-Consciousness,Prefer to be alone,N,1
Imagination,Prefer variety to routine,O,1
Cautiousness,Purchase only practical things,C,1
Conscientiousness,Put off unpleasant tasks,C,-1
Friendliness,Radiate joy,E,1
Sympathy,Reassure others,A,1
Morality,Respect authority,A,1
Morality,Respect the privacy of others,A,1
Conscientiousness,Return borrowed items,C,1
Friendliness,Reveal little about yourself,E,-1
Dutifulness,Say inappropriate things,C,-1
Morality,Scheme against others,A,-1
Orderliness,See that rules are observed,C,1
Cooperation,Seek conflict,A,-1
Intellect,Show a mastery of language,O,1
Introspection/Private Self-Consciousness,Spend time reflecting on things,N,1
Dutifulness,Stick to the rules,C,1
Assertiveness,Stick up for yourself,E,1
Sympathy,Take an interest in other people's lives,A,1
Orderliness,Take good care of your belongings,C,1
Cautiousness,Take precautions,C,1
Conscientiousness,Take tasks too lightly,C,-1
Cooperation,Tell tall stories about yourself,A,-1
Cautiousness,Tend to dislike impulsive people,C,1
Sympathy,Tend to dislike soft-hearted people,A,-1
Cooperation,Think too highly of yourself,A,-1
Sympathy,Try not to think about the needy,A,-1
Morality,Try to follow the rules,A,1
Assertiveness,Try to lead others,E,1
Intellect,Try to understand yourself,O,1
Morality,Turn your back on others,A,-1
Assertiveness,Turn plans into actions,E,1
Intellect,Use difficult words,O,1
Cooperation,Value cooperation over competition,A,1
Introspection/Private Self-Consciousness,Want to be left alone,N,1
Friendliness,Warm up quickly to others,E,1
Orderliness,Work according to a routine,C,1
Morality,Would never cheat on your taxes,A,1
Neuroticism,Are a person whose moods go up and down easily,N,1
Anger,Are a person whose moods go up and down easily,N,1
Neuroticism,Are afraid of many things,N,1
Anxiety,Are afraid of many things,N,1
Neuroticism,Are easily discouraged,N,1
Anxiety,Are easily discouraged,N,1
Neuroticism,Are filled with doubts about things,N,1
Anxiety,Are filled with doubts about things,N,1
Neuroticism,Are not easily annoyed,N,-1
Anger,Are not easily annoyed,N,-1
Neuroticism,Are not embarrassed easily,N,-1
Anxiety,Are not embarrassed easily,N,-1
Intellectual Openness,Are quick to understand things,O,1
Intellect,Are quick to understand things,O,1
Assertiveness,Are the first to act,E,1
Intellectual Openness,Avoid difficult reading material,O,-1
Intellectual Openness,Avoid philosophical discussions,O,-1
Intellect,Avoid philosophical discussions,O,-1
Neuroticism,Become overwhelmed by events,N,1
Anxiety,Become overwhelmed by events,N,1
Intellectual Openness,Believe in the importance of art,O,1
Neuroticism,Can be stirred up easily,N,1
Anger,Can be stirred up easily,N,1
Intellectual Openness,Can handle a lot of information,O,1
Intellect,Can handle a lot of information,O,1
Assertiveness,Can talk others into doing things,E,1
Neuroticism,Change your mood a lot,N,1
Anger,Change your mood a lot,N,1
Assertiveness,Do not have an assertive personality,E,-1
Intellectual Openness,Do not like poetry,O,-1
Intellectual Openness,Enjoy the beauty of nature,O,1
Neuroticism,Feel comfortable with yourself,N,-1
Anxiety,Feel comfortable with yourself,N,-1
Neuroticism,Feel threatened easily,N,1
Intellectual Openness,Formulate ideas clearly,O,1
Intellect,Formulate ideas clearly,O,1
Neuroticism,Get angry easily,N,1
Anger,Get angry easily,N,1
Intellectual Openness,Get deeply immersed in music,O,1
Neuroticism,Get easily agitated,N,1
Anger,Get easily agitated,N,1
Neuroticism,Get upset easily,N,1
Anger,Get upset easily,N,1
Intellectual Openness,Have a rich vocabulary,O,1
Assertiveness,Have a strong personality,E,1
Intellectual Openness,Have difficulty understanding abstract ideas,O,-1
Assertiveness,Hold back your opinions,E,-1
Neuroticism,Keep your emotions under control,N,-1
Anger,Keep your emotions under control,N,-1
Orderliness,Keep things tidy,C,1
Assertiveness,Know how to captivate people,E,1
Assertiveness,Lack the talent for influencing people,E,-1
Intellectual Openness,Learn things slowly,O,-1
Intellect,Learn things slowly,O,-1
Intellectual Openness,Like to solve complex problems,O,1
Intellect,Like to solve complex problems,O,1
Intellectual Openness,Love to reflect on things,O,1
Intellectual Openness,Need a creative outlet,O,1
Neuroticism,Rarely feel depressed,N,-1
Anxiety,Rarely feel depressed,N,-1
Neuroticism,Rarely get irritated,N,-1
Anger,Rarely get irritated,N,-1
Neuroticism,Rarely lose your composure,N,-1
Anger,Rarely lose your composure,N,-1
Intellectual Openness,See beauty in things that others might not notice,O,1
Assertiveness,See yourself as a good leader,E,1
Intellectual Openness,Seldom daydream,O,-1
Neuroticism,Seldom feel blue,N,-1
Anxiety,Seldom feel blue,N,-1
Intellectual Openness,Seldom get lost in thought,O,-1
Intellectual Openness,Seldom notice the emotional aspects of paintings and pictures,O,-1
Intellectual Openness,Think quickly,O,1
Intellect,Think quickly,O,1
Orderliness,Want every detail taken care of,C,1
Neuroticism,Worry about things,N,1
Extraversion,Are a very private person,E,-1
Conscientiousness,Are always prepared,C,1
Conscientiousness,Are exacting in your work,C,1
Intellect,Are full of ideas,O,1
Intellect,Are good at many things,O,1
Agreeableness,Are hard to get to know,A,-1
Agreeableness,Are indifferent to the feelings of others,A,-1
Agreeableness,Are interested in people,A,1
Agreeableness,Are not really interested in others,A,-1
Agreeableness,Are on good terms with nearly everyone,A,1
Extraversion,Are quiet around strangers,E,-1
Extraversion,Are the life of the party,E,1
Extraversion,Bottle up your feelings,E,-1
Intellect,Catch on to things quickly,O,1
Conscientiousness,Continue until everything is perfect,C,1
Intellect,Do not have a good imagination,O,-1
Extraversion,Don't like to draw attention to yourself,E,-1
Extraversion,Don't mind being the center of attention,E,1
Extraversion,Feel at ease with people,E,1
Extraversion,Feel comfortable around people,E,1
Agreeableness,Feel little concern for others,A,-1
Conscientiousness,Find it difficult to get down to work,C,-1
Conscientiousness,Follow a schedule,C,1
Conscientiousness,Get chores done right away,C,1
Agreeableness,Have a good word for everyone,A,1
Intellect,Have a vivid imagination,O,1
Intellect,Have difficulty imagining things,O,-1
Extraversion,Have little to say,E,-1
Agreeableness,Inquire about others' well-being,A,1
Extraversion,Know how to captivate people,E,1
Agreeableness,Know how to comfort others,A,1
Conscientiousness,Leave a mess in your room,C,-1
Conscientiousness,Leave your belongings around,C,-1
Conscientiousness,Like to tidy up,C,1
Agreeableness,Love children,A,1
Conscientiousness,Love order and regularity,C,1
Agreeableness,Love to help others,A,1
Intellect,Love to read challenging material,O,1
Intellect,Love to think up new ways of doing things,O,1
Conscientiousness,Make a mess of things,C,-1
Conscientiousness,Make plans and stick to them,C,1
Extraversion,Often feel uncomfortable around others,E,-1
Conscientiousness,Shirk your duties,C,-1
Agreeableness,Show your gratitude,A,1
Intellect,Spend time reflecting on things,O,1
Extraversion,Start conversations,E,1
Agreeableness,Take time out for others,A,1
Agreeableness,Think of others first,A,1
Extraversion,Wait for others to lead the way,E,-1
Conscientiousness,Waste your time,C,-1
Anxiety,Are always worried about something,N,1
Excitement-seeking,Are eager to soothe hurt feelings,E,1
Anxiety,Begin to panic when there is danger,N,1
Excitement-seeking,Don't get excited about things,E,-1
Excitement-seeking,Feel excited or happy for no apparent reason,E,1
Excitement-seeking,Get caught up in the excitement when others are celebrating,E,1
Excitement-seeking,Get so happy or energetic that you are almost giddy,E,1
Anxiety,Get stressed out easily,N,1
Anxiety,Often worry about things that turn out to be unimportant,N,1
Excitement-seeking,Rarely get caught up in the excitement,E,-1
Anxiety,Rarely worry,N,-1
Anxiety,Worry about what people think of me,N,1
Introspection/Private Self-Consciousness,Are constantly reflecting about yourself,N,1
Introspection/Private Self-Consciousness,Don't try to figure yourself out,N,-1
Introspection/Private Self-Consciousness,Examine your motives constantly,N,1
Introspection/Private Self-Consciousness,Like to get lost in thought,N,1
Introspection/Private Self-Consciousness,Look for hidden meaning in things,N,1
Introspection/Private Self-Consciousness,Rarely look for a deeper meaning in things,N,-1
Introspection/Private Self-Consciousness,Seldom daydream,N,-1
Introspection/Private Self-Consciousness,Seldom get lost in thought,N,-1
Introspection/Private Self-Consciousness,Try to examine yourself objectively,N,1
Anxiety,Are easily startled,N,1
Anxiety,Are generally a fearful person,N,1
Anxiety,Are nervous or tense most of the time,N,1
Depression,Are sad most of the time,N,1
Depression,Dislike yourself,N,1
Anger,Don't let little things anger me,N,-1
Anxiety,Feel your anxiety overwhelms me,N,1
Anxiety,Feel that your worry and anxiety is out of control,N,1
Depression,Generally focus on the negative side of things,N,1
Anger,Get irritated easily,N,1
Anger,Have a violent temper,N,1
Depression,Look at the bright side of life,N,-1
Anger,Often feel overwhelmed with rage,N,1
Anxiety,Panic easily,N,1
Depression,Rarely feel depressed,N,-1
Depression,Tend to feel very hopeless,N,1
Dutifulness,Act without planning,C,-1
Self-discipline,Are exacting in your work,C,1
